patient,79
pain,72
pt,52
right,43
history,40
abdominal,39
atrial,36
left,35
chest,33
t,33
presents,32
home,32
denies,31
s/p,30
days,29
ed,29
blood,29
given,28
cough,26
fibrillation,26
found,25
breath,24
weeks,23
2,23
back,23
woman,22
two,22
present,22
female,22
worsening,21
iv,21
old,21
presented,21
bp,21
disease,21
shortness,20
past,20
**,20
hr,20
showed,19
rhythm,19
normal,19
labs,19
reports,18
's,18
today,18
3,18
noted,18
pulmonary,18
positive,17
cad,17
yo,17
elevated,17
recent,17
admission,17
ago,17
admitted,17
pulse,16
negative,16
multiple,16
dyspnea,16
presenting,16
nausea,16
hospital,15
r,15
acute,15
unresponsive,15
h/o,15
clear,15
baseline,15
yesterday,15
started,15
**hospital1,15
mg,14
head,14
daily,14
htn,14
1,14
pressure,14
edema,14
low,14
vomiting,14
treated,14
recently,14
chills,14
ct,14
m,13
confusion,13
sob,13
respiratory,13
hct,13
stools,13
male,13
24,13
bowel,13
prior,12
significant,12
sinus,12
c,12
fevers,11
pneumonia,11
exertion,11
nc,11
mild,11
name,11
sounds,11
discharged,11
transferred,11
ground,11
o2,11
emesis,11
hypertension,11
small,11
throat,11
soft,11
new,10
fever,10
medical,10
100,10
floor,10
black,10
nursing,10
complicated,10
morning,10
ivf,10
diarrhea,10
--,10
lower,10
mouth,10
chronic,10
placed,10
increased,10
transfer,10
noticed,10
rr,9
feeling,9
oriented,9
bathroom,9
intubated,9
year-old,9
time,9
change,9
productive,9
man,9
**3266-8-26**,9
18,9
note,9
severe,9
general,9
movement,9
hyperlipidemia,9
minimal,9
department,9
artery,9
chf,9
examination,9
infection,9
abuse,9
room,8
coumadin,8
l,8
ra,8
assessed,8
dp,8
w/,8
received,8
concerning,8
previous,8
initial,8
physical,8
did,8
heart,8
palpitations,8
years,8
copd,8
diastolic,8
sat,8
melena,8
aortic,8
5,8
family,8
6,8
infant,8
developed,8
radial,8
health,8
headache,8
initially,8
emergency,8
called,8
cell,8
f,8
progressive,8
rash,8
hypotension,8
orthopnea,8
thought,8
lung,8
hx,8
herniation,7
99,7
97,7
abdomen,7
constipation,7
ventricular,7
stimuli,7
mother,7
night,7
months,7
lungs,7
98,7
s2,7
revealed,7
neck,7
episodes,7
gtt,7
decreased,7
s1,7
eyes,7
arrival,7
diffuse,7
lavage,7
cabg,7
bilateral,7
fall,7
requiring,7
urine,7
78,7
distress,7
complains,7
reportedly,7
metoprolol,7
**hospital3,7
exam,7
**month,7
function,7
delivery,7
pmhx,7
obstruction,6
second,6
k,6
conjunctiva,6
**known,6
weakness,6
side,6
admits,6
primary,6
carcinoma,6
report,6
peripheral,6
symmetric,6
mildly,6
regurgitation,6
vomitting,6
50,6
effusion,6
denied,6
son,6
absent,6
extremity,6
osh,6
skin,6
upper,6
current,6
cardioversion,6
vitals,6
tachycardia,6
dropped,6
medications,6
care,6
rehab,6
1+,6
6l,6
neurologic,6
colon,6
70,6
stool,6
heroin,6
cardiovascular,6
sbp,6
lastname,6
mg/dl,6
dark,6
contacts,6
output,6
sick,6
junctional,6
svg,6
resection,6
tenderness,6
demonstrated,6
bleeding,6
secretions,6
sore,6
87,6
red,6
dobutamine,6
dementia,6
radiating,6
lobe,6
state,6
cxr,6
unclear,6
ca,6
usual,6
stage,6
reported,5
dry,5
90,5
94,5
ascites,5
copious,5
01:50pm,5
afib,5
hypoxia,5
y-stent,5
episode,5
came,5
ulcer,5
pregnancy,5
54,5
bpm,5
unit,5
diltiazem,5
setting,5
ns,5
felt,5
extremities,5
jvp,5
normocephalic,5
appears,5
ekg,5
heent,5
flu,5
spo2,5
cardiac,5
avid,5
er,5
trauma,5
long,5
10,5
16,5
fracture,5
falls,5
later,5
show,5
secondary,5
